Model Name,Engine Displacement (cc),Maximum Power (HP),Engine Type,Bore (mm),Stroke (mm),Charging System,Oil Capacity (L),Valve Type,Cylinders (qty.),Dry Weight (kg),Shaft Diameter (mm),Fuel Type,Air Cooling System,Product Type,Series,Start Type,Displacement,Shaft Rotation
Model_0049,550,16.4,4-stroke,58.8,66,Alternator,0.63,Flathead,1,14.7,30.201,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0050,249,10.2,V-twin,80,56.201,Alternator,0.6,OHV,2,38.3,33.701,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0051,316,18.6,OHV,55.101,73.2,None,0.43,DOHC,1,66.4,23.2,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0052,592,9.2,OHV,57.5,70,None,1.15,DOHC,2,10.4,27.001,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0053,278,16.9,OHV,81,62.8,None,2.08,OHV,1,66.2,30.5,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0054,348,18.4,4-stroke,66.4,63.2,None,0.68,DOHC,2,22.6,33.702,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0055,630,17.4,OHV,65.6,57.5,Alternator,2.48,OHV,1,31.1,22.9,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0056,96,8.7,OHV,58.1,48.5,12V DC,2.09,OHV,1,68.3,26.2,Diesel,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0057,590,20.5,2-stroke,64.8,67.8,None,2.15,DOHC,1,44.8,19.701,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0058,389,12.1,V-twin,61.2,72.6,Alternator,1.921,Flathead,1,11.4,33.3,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0059,189,14.7,2-stroke,78.7,48.501,None,0.601,OHV,1,46.601,21,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0060,466,7.2,V-twin,79.8,54.6,12V DC,0.57,Flathead,2,56.4,20.401,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0061,146,12.4,4-stroke,73.6,63.8,12V DC,1.2,OHV,1,40.4,30.7,Diesel,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0062,496,17.2,OHV,64.1,70.6,12V DC,0.75,DOHC,1,38,33.4,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0063,515,9.1,V-twin,80.3,66.6,12V DC,1.051,Flathead,1,42.1,27.201,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0064,182,14.8,V-twin,57.4,56.5,None,0.86,Flathead,1,15.5,34.1,Diesel,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0065,689,19.5,OHV,74.1,45.9,None,0.96,Flathead,2,60.2,33.1,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0066,118,15.5,V-twin,83.7,48.9,12V DC,1.19,DOHC,2,60.201,25.5,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0067,132,11.7,2-stroke,64.601,67.101,12V DC,0.36,DOHC,1,61.6,19,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0068,612,12.1,V-twin,57.6,73.3,Alternator,2.38,OHV,2,64.1,30.501,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0069,206,5.9,2-stroke,69.801,70.601,12V DC,0.74,DOHC,2,57,32.7,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0070,288,8.6,2-stroke,69.5,51.5,Alternator,1.65,DOHC,1,41.501,34.9,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0071,180,15.3,2-stroke,56.4,46.3,12V DC,2.5,OHV,1,13.2,30.701,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0072,206,3.1,4-stroke,74.2,69.9,Alternator,1.7,DOHC,1,59.1,22.2,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0073,394,23.1,OHV,71.801,54.3,12V DC,1.55,OHV,2,55,21.301,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0074,268,8.5,4-stroke,81.8,46.4,None,0.65,DOHC,2,62.3,30,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0075,682,13.1,2-stroke,84.001,65.3,12V DC,0.72,Flathead,2,51.5,29.1,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0076,482,12.2,4-stroke,63.6,53.901,None,0.38,Flathead,1,51.7,32.2,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0077,71,4,2-stroke,62.7,56.901,Alternator,2.26,OHV,1,58.6,20.3,Diesel,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0078,63,20,2-stroke,81.1,69.3,Alternator,1.95,DOHC,1,61.9,20.301,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0079,157,7.8,V-twin,70.7,49,None,0.62,OHV,1,41.401,30.3,Diesel,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0080,71,4.4,OHV,75.1,55.401,None,1.67,Flathead,1,23.1,26.9,Diesel,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_0081,146,19.1,2-stroke,71.5,47.2,Alternator,2.21,DOHC,1,49.6,29.702,Diesel,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0082,608,23.5,OHV,82.901,55.5,12V DC,1.9,DOHC,1,52.5,21.101,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0083,498,18,4-stroke,72,65.901,12V DC,0.51,Flathead,2,26.601,34.001,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0084,342,20,4-stroke,81.3,48,12V DC,1.41,DOHC,2,69.5,29.9,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0085,456,12.2,V-twin,64.101,59.5,12V DC,1.69,DOHC,1,10.3,24.2,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0086,226,15.8,4-stroke,67.4,70.8,None,1.74,OHV,1,39.4,22.801,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0087,636,23.6,4-stroke,77.6,72.8,12V DC,1.721,DOHC,2,22.5,24.7,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0088,290,3.7,OHV,74.4,66.2,Alternator,1.341,Flathead,2,31.101,28.3,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0089,368,12,V-twin,68.5,72.4,12V DC,0.89,Flathead,2,40.3,30.101,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0090,50,5.5,V-twin,81.4,66.7,Alternator,1.07,Flathead,1,52.8,27.1,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_0091,603,15.9,V-twin,80.4,49.001,Alternator,1.22,OHV,1,44.2,24.9,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0092,673,10.9,4-stroke,65.1,45.1,12V DC,0.4,OHV,2,28.8,29.401,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0093,136,5.5,V-twin,73.5,71.1,None,1.651,OHV,2,31.4,23.7,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0094,670,19.3,V-twin,70.2,70.3,12V DC,1.26,OHV,2,46.602,30.801,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0095,107,16,4-stroke,60.8,50.101,12V DC,1,Flathead,2,26.5,33.401,Diesel,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0096,526,15.2,OHV,66.1,56.202,Alternator,0.83,Flathead,1,58.5,26.4,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0097,163,15.1,2-stroke,81.101,50.5,12V DC,2.16,Flathead,1,20.9,25.2,Diesel,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0098,496,16.4,V-twin,64.602,50.8,12V DC,0.441,DOHC,2,10.501,19.5,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0099,405,8.8,OHV,70.3,69.401,Alternator,1.17,Flathead,2,41.402,22.201,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0100,76,20.1,4-stroke,79.801,53.5,None,0.311,OHV,1,53.9,33.101,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_0101,393,5.7,4-stroke,57.601,65.8,12V DC,0.99,Flathead,1,26.602,25.7,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0102,266,17.7,OHV,77.1,62,Alternator,1.25,DOHC,2,43.501,18.7,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0103,220,12.6,4-stroke,75.8,73.6,Alternator,2.261,DOHC,1,24.6,24.1,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0104,486,3,V-twin,72.802,46.2,12V DC,2,Flathead,1,58.8,26.901,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0105,623,22.9,V-twin,59.501,49.1,12V DC,0.69,Flathead,1,57.4,21.9,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0106,169,24.5,4-stroke,81.2,64.2,None,2.36,Flathead,1,16.8,34.8,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0107,257,6.3,OHV,75.101,71.4,None,1.141,OHV,1,49.4,24.001,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0108,536,13.7,4-stroke,74.401,67.201,12V DC,0.671,OHV,2,48.1,24.101,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0109,627,15.5,V-twin,80.001,56.7,12V DC,2.081,OHV,1,12.2,25,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0110,624,22.7,2-stroke,70.6,54.301,Alternator,1.51,Flathead,2,16,31.1,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0111,64,2.9,V-twin,80.8,69,Alternator,0.711,OHV,2,67.8,29.703,Diesel,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_0112,143,6.3,4-stroke,80.5,49.101,Alternator,1.35,OHV,2,47.4,26.701,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0113,432,8.6,OHV,58.6,62.9,Alternator,1.861,Flathead,2,25.401,18.6,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0114,699,5.3,OHV,72.701,73.601,Alternator,1.48,Flathead,1,16.9,25.201,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_0115,281,13,4-stroke,67.6,45.2,12V DC,0.9,DOHC,1,66.9,27.5,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0116,179,21.4,2-stroke,61.1,66.701,Alternator,2.031,DOHC,1,60,28.2,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0117,569,5.4,V-twin,76.801,60.8,Alternator,1.281,Flathead,1,9.1,22.802,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0118,92,3.7,V-twin,76.7,56.701,None,0.511,DOHC,1,16.7,19.001,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_0119,190,24.7,OHV,76.1,48.001,None,0.431,DOHC,2,65.2,23.701,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_0120,670,6.4,2-stroke,82.5,61.7,None,2.22,Flathead,1,39.5,19.501,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0121,450,4.5,V-twin,67.5,61.1,Alternator,1.36,DOHC,1,12.101,33.8,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0122,357,13.3,V-twin,57.602,74.4,Alternator,2.46,OHV,2,32.2,19.502,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0123,293,23.2,V-twin,59.3,45,Alternator,0.651,Flathead,1,18.2,23.4,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0124,319,18.3,4-stroke,75.401,61.9,Alternator,1.901,OHV,2,55.1,21.2,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0125,267,22,2-stroke,68.001,52.301,12V DC,0.59,Flathead,1,24.8,23.201,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0126,508,14.2,V-twin,75.7,74.401,None,1.23,DOHC,2,38.4,33.301,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0127,358,4,2-stroke,72.3,50.201,None,2.501,Flathead,1,31,32.701,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_0128,606,14.5,V-twin,75.3,66.101,None,2.44,Flathead,2,13.5,22.4,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0129,164,3.6,OHV,76.3,58.701,None,1.42,Flathead,1,66.3,18.3,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0130,257,23.8,4-stroke,64.2,60.601,12V DC,0.751,Flathead,2,43.6,28.9,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0131,117,16.7,OHV,83.701,62.001,Alternator,0.58,DOHC,1,48.8,30.6,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0132,418,19.4,V-twin,68.4,65.6,None,0.45,DOHC,2,63.1,18.201,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0133,436,20.1,2-stroke,79.7,58,None,0.442,OHV,1,28.3,33.703,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_0134,646,24.3,OHV,67,51,Alternator,0.73,DOHC,1,57.7,30.4,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0135,561,6.9,OHV,64.801,47.7,None,1.841,Flathead,2,64.4,21.5,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0136,235,24.2,4-stroke,67.1,60,12V DC,0.32,Flathead,1,33.6,28.701,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0137,318,9.5,V-twin,72.702,49.102,None,0.652,OHV,1,50.8,33.704,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0138,179,21.8,V-twin,67.501,57.2,Alternator,1.08,DOHC,1,52.3,18.001,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_0139,265,12,2-stroke,60.7,58.001,12V DC,2.491,Flathead,2,58.601,30.202,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0140,227,6.9,OHV,77,74.1,12V DC,1.1,Flathead,1,40.7,18.801,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0141,388,19.7,2-stroke,71.9,67,12V DC,2.191,DOHC,2,12.201,29.101,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0142,226,23.3,V-twin,68.401,68.5,Alternator,1.39,DOHC,1,14.9,21.7,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_0143,642,4.1,2-stroke,69.501,56.203,Alternator,1.44,OHV,1,66.301,34.801,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0144,318,14.7,V-twin,75.301,74.101,None,2.2,DOHC,2,60.8,20.2,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_0145,74,2.7,2-stroke,83.3,61.101,None,1.31,DOHC,1,63.9,26.401,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_0146,528,10.5,4-stroke,65.601,58.5,None,1.151,Flathead,2,28.1,25.8,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_0147,698,7.7,4-stroke,79.5,52.4,None,2.35,Flathead,1,62.7,25.801,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_0148,673,10.4,2-stroke,82.601,68.7,12V DC,1.99,OHV,1,38.5,34.4,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_0149,522,10.2,V-twin,74.5,45.001,12V DC,1.93,Flathead,1,66.201,18.501,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
